Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
41835,The Roman Empire,Isaac Asimov,"Asimov, Isaac",,"=""0395065771""","=""9780395065778""",0,4.21,Houghton Mifflin (Juv),Hardcover,288,1967,1967,,2019/05/16,currently-reading,currently-reading (#10),currently-reading,,,,1,0
3356866,La Rebelion de Atlas,Ayn Rand,"Rand, Ayn",,"=""9872095108""","=""9789872095109""",0,3.69,Grito Sagrado,Hardcover,0,2003,1957,,2023/01/06,to-read,to-read (#1114),to-read,,,,0,0
401060,Poesía completa,Alejandra Pizarnik,"Pizarnik, Alejandra",Ana María Becciu,"=""8426428258""","=""9788426428257""",0,4.56,Lumen ,Paperback,470,2009,2000,,2023/01/02,to-read,to-read (#1113),to-read,,,,0,0
64807,The Tribe of Tiger: Cats and Their Culture,Elizabeth Marshall Thomas,"Thomas, Elizabeth Marshall",Jared Taylor Williams,"=""0743426894""","=""9780743426893""",0,3.79,Gallery Books,Paperback,288,2001,1994,,2022/12/23,to-read,to-read (#1112),to-read,,,,0,0
544856,The Harmless People,Elizabeth Marshall Thomas,"Thomas, Elizabeth Marshall",,"=""067972446X""","=""9780679724469""",0,3.97,Vintage,Paperback,336,1989,1959,,2022/12/23,to-read,to-read (#1111),to-read,,,,0,0
62191366,Child Psychology in Twelve Questions,Paul L. Harris,"Harris, Paul L.",,"=""0192866508""","=""9780192866509""",0,0.0,"Oxford University Press, USA",Hardcover,272,2022,,,2022/12/23,to-read,to-read (#1110),to-read,,,,0,0
61408953,The Cognitive Neuroscience of Religious Experience,Patrick McNamara,"McNamara, Patrick",,"=""""","=""9781108977890""",0,0.0,Cambridge University Press,Paperback,350,2022,,,2022/12/23,to-read,to-read (#1109),to-read,,,,0,0
60021212,Ritual: How Seemingly Senseless Acts Make Life Worth Living,Dimitris Xygalatas,"Xygalatas, Dimitris",,"=""0316462403""","=""9780316462402""",0,3.95,"Little, Brown Spark",Hardcover,320,2022,,,2022/12/23,to-read,to-read (#1108),to-read,,,,0,0
58684274,Hidden Games: The Surprising Power of Game Theory to Explain Irrational Human Behavior,Erez Yoeli,"Yoeli, Erez",Moshe Hoffman,"=""1549193155""","=""9781549193156""",0,3.69,Basic Books,Audiobook,368,2022,,,2022/12/23,to-read,to-read (#1107),to-read,,,,0,0
59221394,La zarigüeya de Schrödinger. Cómo viven y entienden la muerte los animales,Susana Monsó,"Monsó, Susana",,"=""""","=""9788417121389""",0,4.29,plaza y valdés,Paperback,240,2021,,,2022/12/23,to-read,to-read (#1106),to-read,,,,0,0
58733950,"The Origins and Dynamics of Inequality: Sex, Politics, and Ideology",Jon D Wisman,"Wisman, Jon D",,"=""0197575943""","=""9780197575949""",0,4.50,"Oxford University Press, USA",Hardcover,520,2022,,,2022/12/23,to-read,to-read (#1105),to-read,,,,0,0
55664848,La bitácora de Humboldt,Manuel García González,"González, Manuel García",Pepa Corbacho Jiménez,"=""""","=""""",0,4.40,,Kindle Edition,,2020,,,2022/12/23,currently-reading,currently-reading (#9),currently-reading,,,,1,0
69704675,Los mandarines,Simone de Beauvoir,"Beauvoir, Simone de",Silvina Bullrich,"=""""","=""""",0,4.17,Editorial Sudamericana,Paperback,700,1977,1954,,2022/12/21,to-read,to-read (#1104),to-read,,,,0,0
